file, tmin, tmax
branning_01_HHH_010_1_1, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_1_2, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_1_3, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_1_4, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_1_5, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_2_1, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_2_2, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_2_3, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_2_4, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_2_5, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_3_1, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_3_2, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_3_3, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_3_4, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_3_5, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_4_1, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_4_2, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_4_3, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_4_4, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_4_5, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_5_1, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_5_2, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_5_3, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_5_4, 0.809755256110612, 1.46737244726988
branning_01_HHH_010_5_5, 0.809755256110612, 1.46737244726988
branning_01_HLL_002_1_1, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_1_2, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_1_3, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_1_4, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_1_5, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_2_1, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_2_2, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_2_3, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_2_4, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_2_5, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_3_1, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_3_2, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_3_3, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_3_4, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_3_5, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_4_1, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_4_2, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_4_3, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_4_4, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_4_5, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_5_1, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_5_2, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_5_3, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_5_4, 0.70078880861807, 1.35840599696575
branning_01_HLL_002_5_5, 0.70078880861807, 1.35840599696575
branning_01_LHH_001_1_1, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_1_2, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_1_3, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_1_4, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_1_5, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_2_1, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_2_2, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_2_3, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_2_4, 0.807639817213406, 1.46525699726311
branning_01_LHH_001_2_5, 0.807639817213406, 1.46525699726311
